"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.520,1.31,1.50,-59.62,0.520,1.12,0.08,0.39,0.520,1.11,0.33,-14.93,0.520,1.07,-0.68,-2.91,0.520,0.87,-0.82,-0.59,0.520,0.60,-0.97,-0.76,0.520,0.98,-0.70,11.60,0.520,0.80,-0.75,0.55,0.520,1.07,0.14,-18.64,0.520,0.72,-0.95,-1.90
0.540,1.30,-0.34,-50.50,0.540,1.12,0.14,-0.72,0.540,1.20,-1.01,-38.38,0.540,1.06,-0.70,-1.69,0.540,0.85,-0.84,0.28,0.540,0.58,-0.99,-0.56,0.540,0.97,-0.75,5.56,0.540,0.79,-0.78,0.10,0.540,1.05,-0.48,-17.16,0.540,0.70,-0.94,0.01
0.560,1.30,-0.49,-9.36,0.560,1.13,0.10,-4.23,0.560,1.05,-2.45,-16.78,0.560,1.04,-0.72,-2.12,0.560,0.83,-0.83,1.10,0.560,0.56,-1.00,-0.30,0.560,0.95,-0.75,-0.55,0.560,0.78,-0.75,-0.54,0.560,1.05,-0.55,-8.21,0.560,0.69,-0.91,0.49
0.580,1.28,-0.89,24.37,0.580,1.13,-0.03,-8.40,0.580,1.02,-1.96,14.98,0.580,1.03,-0.79,-1.97,0.580,0.82,-0.76,0.33,0.580,0.54,-1.00,-0.16,0.580,0.94,-0.75,-0.33,0.580,0.76,-0.76,-1.83,0.580,1.03,-0.64,-3.02,0.580,0.67,-0.92,0.13
0.600,1.26,0.92,16.23,0.600,1.12,-0.27,-10.58,0.600,1.00,-0.74,22.30,0.600,1.01,-0.85,-0.44,0.600,0.80,-0.77,-2.01,0.600,0.52,-1.00,-0.29,0.600,0.92,-0.76,-0.57,0.600,0.75,-0.83,-2.52,0.600,1.02,-0.68,-2.39,0.600,0.65,-0.91,-0.11
0.620,1.23,1.17,-26.62,0.620,1.12,-0.51,-10.16,0.620,1.02,-0.93,9.19,0.620,1.00,-0.81,0.93,0.620,0.79,-0.87,-3.55,0.620,0.50,-1.00,-0.66,0.620,0.91,-0.77,-0.70,0.620,0.73,-0.92,-0.54,0.620,1.00,-0.71,-2.17,0.620,0.63,-0.91,-0.10
0.640,1.46,-0.60,-61.20,0.640,1.10,-0.69,-7.19,0.640,0.97,-0.80,0.01,0.640,0.98,-0.75,0.81,0.640,0.77,-0.97,-2.27,0.640,0.48,-1.03,-0.70,0.640,0.89,-0.80,-0.45,0.640,0.71,-0.89,1.85,0.640,1.00,-0.77,-1.88,0.640,0.61,-0.92,-0.14
0.660,1.22,-2.56,-34.27,0.660,1.09,-0.82,-3.71,0.660,0.94,-0.79,-3.76,0.660,0.97,-0.77,-0.25,0.660,0.75,-0.98,-0.10,0.660,0.46,-1.05,-0.13,0.660,0.88,-0.80,0.40,0.660,0.69,-0.76,1.79,0.660,0.97,-0.81,-0.67,0.660,0.59,-0.92,-0.20
0.680,1.19,-2.69,10.45,0.680,1.07,-0.82,-1.27,0.680,0.98,-0.88,-9.00,0.680,0.95,-0.79,-0.74,0.680,0.73,-0.92,0.74,0.680,0.44,-1.04,0.51,0.680,0.86,-0.78,0.97,0.680,0.68,-0.77,-0.74,0.680,0.96,-0.81,0.38,0.680,0.57,-0.92,-0.42
0.700,1.19,-0.85,25.05,0.700,1.05,-0.83,-0.43,0.700,0.91,-1.31,-5.49,0.700,0.93,-0.80,-0.60,0.700,0.71,-0.93,0.12,0.700,0.42,-1.01,0.37,0.700,0.84,-0.73,0.02,0.700,0.66,-0.84,-2.54,0.700,0.94,-0.76,0.22,0.700,0.56,-0.94,-0.56
